Player_Id,Player_Name,DOB,Batting_Hand,Bowling_Skill,Country,Is_Umpire,Column1
439,AM Salvi,29879,Right_Hand,Right-arm medium,India,0,
440,RR Bose,28913,Right_Hand,Right-arm fast-medium,India,0,
441,SS Sarkar,31031,Right_Hand,Right-arm medium,India,0,
442,RA Shaikh,31210,Left_Hand,Left-arm medium,India,0,
443,C Ganapathy,29747,Right_Hand,Right-arm medium,India,0,
444,MB Parmar,32245,Right_Hand,Right-arm offbreak,India,0,
445,AA Kazi,32780,Left_Hand,Slow left-arm orthodox,India,0,
446,Anand Rajan,31884,Right_Hand,Right-arm medium,India,0,
447,P Prasanth,31189,Left_Hand,Slow left-arm orthodox,India,0,
448,SS Mundhe,32443,Right_Hand,Right-arm medium,India,0,
449,RW Price,27923,Right_Hand,Slow left-arm orthodox,Zimbabwea,0,
450,TP Sudhindra,30796,Left_Hand,Right-arm fast,India,0,
451,BW Hilfenhaus,30390,Right_Hand,Right-arm fast-medium,Australia,0,
452,S Badree,29654,Right_Hand,Legbreak,West Indies,0,
453,P Suyal,32796,Right_Hand,Left-arm medium,India,0,
454,MG Neser,32961,Right_Hand,Right-arm medium,Australia,0,
